Time (EpSec),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
26.4,4188.434932,-3947.886803,2903.542335,0.224683,-1.778145,3.107838
26.5,4188.45737,-3948.064589,2903.853097,0.22406,-1.777557,3.107406
26.6,4188.479745,-3948.242315,2904.163816,0.223437,-1.77697,3.106974
26.7,4188.502057,-3948.419983,2904.474492,0.222814,-1.776383,3.106542
26.8,4188.524307,-3948.597592,2904.785125,0.222191,-1.775796,3.10611
26.9,4188.546495,-3948.775142,2905.095714,0.221569,-1.775209,3.105678
27,4188.568621,-3948.952633,2905.40626,0.220946,-1.774622,3.105246
27.1,4188.590685,-3949.130066,2905.716763,0.220323,-1.774034,3.104814
27.2,4188.612686,-3949.30744,2906.027223,0.219701,-1.773447,3.104382
27.3,4188.634625,-3949.484756,2906.33764,0.219078,-1.77286,3.10395
27.4,4188.656501,-3949.662012,2906.648013,0.218456,-1.772274,3.103518
27.5,4188.678316,-3949.83921,2906.958343,0.217833,-1.771687,3.103086
27.6,4188.700068,-3950.01635,2907.26863,0.217211,-1.7711,3.102654
27.7,4188.721758,-3950.19343,2907.578874,0.216589,-1.770513,3.102222
27.8,4188.743386,-3950.370452,2907.889075,0.215967,-1.769926,3.101791
27.9,4188.764951,-3950.547416,2908.199232,0.215345,-1.76934,3.101359
28,4188.786455,-3950.72432,2908.509346,0.214723,-1.768753,3.100927
28.1,4188.807896,-3950.901166,2908.819418,0.214101,-1.768166,3.100495
28.2,4188.829275,-3951.077953,2909.129445,0.213479,-1.76758,3.100063
28.3,4188.850592,-3951.254682,2909.43943,0.212857,-1.766993,3.099631
28.4,4188.871846,-3951.431352,2909.749372,0.212235,-1.766407,3.099199
28.5,4188.893039,-3951.607963,2910.05927,0.211614,-1.76582,3.098768
28.6,4188.914169,-3951.784516,2910.369125,0.210992,-1.765234,3.098336
28.7,4188.935237,-3951.96101,2910.678937,0.21037,-1.764648,3.097904
28.8,4188.956243,-3952.137446,2910.988706,0.209749,-1.764061,3.097472
28.9,4188.977187,-3952.313823,2911.298432,0.209128,-1.763475,3.09704
29,4188.998069,-3952.490141,2911.608114,0.208506,-1.762889,3.096608
29.1,4189.018888,-3952.6664,2911.917753,0.207885,-1.762303,3.096177
29.2,4189.039646,-3952.842601,2912.227349,0.207264,-1.761717,3.095745
29.3,4189.060341,-3953.018744,2912.536902,0.206643,-1.761131,3.095313
29.4,4189.080974,-3953.194827,2912.846412,0.206022,-1.760545,3.094881
29.5,4189.101545,-3953.370853,2913.155879,0.205401,-1.759959,3.094449
29.6,4189.122054,-3953.546819,2913.465302,0.20478,-1.759373,3.094018
29.7,4189.142501,-3953.722727,2913.774682,0.204159,-1.758787,3.093586
29.8,4189.162886,-3953.898577,2914.084019,0.203539,-1.758201,3.093154
29.9,4189.183209,-3954.074367,2914.393313,0.202918,-1.757615,3.092722
30,4189.20347,-3954.2501,2914.702564,0.202298,-1.757029,3.092291
30.1,4189.223669,-3954.425773,2915.011771,0.201677,-1.756444,3.091859
30.2,4189.243805,-3954.601388,2915.320935,0.201057,-1.755858,3.091427
30.3,4189.26388,-3954.776945,2915.630057,0.200436,-1.755272,3.090996
30.4,4189.283893,-3954.952443,2915.939134,0.199816,-1.754687,3.090564
30.5,4189.303843,-3955.127882,2916.248169,0.199196,-1.754101,3.090132
30.6,4189.323732,-3955.303263,2916.557161,0.198576,-1.753516,3.0897
30.7,4189.343558,-3955.478585,2916.866109,0.197956,-1.75293,3.089269
30.8,4189.363323,-3955.653849,2917.175015,0.197336,-1.752345,3.088837
30.9,4189.383026,-3955.829054,2917.483877,0.196716,-1.75176,3.088405
31,4189.402666,-3956.004201,2917.792696,0.196096,-1.751174,3.087974
31.1,4189.422245,-3956.179289,2918.101471,0.195476,-1.750589,3.087542
31.2,4189.441761,-3956.354319,2918.410204,0.194856,-1.750004,3.08711
31.3,4189.461216,-3956.52929,2918.718894,0.194237,-1.749419,3.086679
31.4,4189.480609,-3956.704203,2919.02754,0.193617,-1.748834,3.086247
31.5,4189.499939,-3956.879057,2919.336143,0.192998,-1.748249,3.085815
31.6,4189.519208,-3957.053853,2919.644703,0.192378,-1.747664,3.085384
31.7,4189.538415,-3957.22859,2919.95322,0.191759,-1.747079,3.084952
31.8,4189.55756,-3957.403268,2920.261693,0.19114,-1.746494,3.08452
31.9,4189.576643,-3957.577888,2920.570124,0.19052,-1.745909,3.084089
32,4189.595664,-3957.75245,2920.878511,0.189901,-1.745324,3.083657
32.1,4189.614623,-3957.926953,2921.186855,0.189282,-1.744739,3.083226
32.2,4189.633521,-3958.101398,2921.495156,0.188663,-1.744154,3.082794
